t,mean_fC
1,0.3440000116825104
2,0.2639999985694885
3,0.2195555716753006
4,0.20266667008399963
5,0.21511110663414001
6,0.20533332228660583
7,0.21066665649414062
8,0.2248888909816742
9,0.23377776145935059
10,0.2604444622993469
11,0.2693333029747009
12,0.30044442415237427
13,0.324444442987442
14,0.3502222001552582
15,0.3715555667877197
16,0.3848888874053955
17,0.40888890624046326
18,0.41599997878074646
19,0.43111109733581543
20,0.42755556106567383
21,0.4391111433506012
22,0.43733328580856323
23,0.46133333444595337
24,0.47822222113609314
25,0.4968889355659485
26,0.47911110520362854
27,0.4906666874885559
28,0.5075555443763733
29,0.5155555605888367
30,0.519111156463623
31,0.5217778086662292
32,0.5173333287239075
33,0.527999997138977
34,0.5297778248786926
35,0.5368888974189758
36,0.5466667413711548
37,0.5662222504615784
38,0.574222207069397
39,0.5955555438995361
40,0.581333339214325
41,0.5751110911369324
42,0.5875555276870728
43,0.6035555601119995
44,0.5866667032241821
45,0.5920000076293945
46,0.5875555276870728
47,0.5955555438995361
48,0.5964444279670715
49,0.5964444875717163
50,0.6062222123146057
51,0.6088889241218567
52,0.6222222447395325
53,0.6373333930969238
54,0.6391111612319946
55,0.6382222175598145
56,0.656000018119812
57,0.6426666378974915
58,0.6524444818496704
59,0.6480000019073486
60,0.6586666107177734
61,0.6728889346122742
62,0.6746666431427002
63,0.6844444274902344
64,0.7004444599151611
65,0.6915555596351624
66,0.7093333005905151
67,0.7057778239250183
68,0.699555516242981
69,0.7120000123977661
70,0.7022222280502319
71,0.6942222118377686
72,0.6968889236450195
73,0.6906666159629822
74,0.695111095905304
75,0.7004444003105164
76,0.7039999961853027
77,0.7164444327354431
78,0.7004444599151611
79,0.6924444437026978
80,0.7039999961853027
81,0.7057777643203735
82,0.7173333168029785
83,0.7155554890632629
84,0.7288888692855835
85,0.7253333330154419
86,0.7360000610351562
87,0.7324444651603699
88,0.737777829170227
89,0.7315555810928345
90,0.7155556082725525
91,0.7262222170829773
92,0.7502222061157227
93,0.7537777423858643
94,0.7519999742507935
95,0.7573333382606506
96,0.7511111497879028
97,0.7457777857780457
98,0.7475555539131165
99,0.7591111063957214
100,0.7600000500679016
101,0.7733333706855774
102,0.7511111497879028
103,0.7751110792160034
104,0.7751110792160034
105,0.7706667184829712
106,0.781333327293396
107,0.7893332839012146
108,0.7902222871780396
109,0.7964444160461426
110,0.7893333435058594
111,0.7928889393806458
112,0.8035556077957153
113,0.7964444160461426
114,0.7982222437858582
115,0.7973333597183228
116,0.801777720451355
117,0.8142221570014954
118,0.8222222328186035
119,0.8240000009536743
120,0.8186667561531067
121,0.8204444646835327
122,0.8302223086357117
123,0.8248888850212097
124,0.8231111764907837
125,0.8151110410690308
126,0.8151110410690308
127,0.8115555644035339
128,0.8062222599983215
129,0.8222222328186035
130,0.8417778015136719
131,0.8355555534362793
132,0.8302222490310669
133,0.8293333053588867
134,0.8284444808959961
135,0.8284444808959961
136,0.8186667561531067
137,0.8319999575614929
138,0.8266666531562805
139,0.8231111764907837
140,0.8222222328186035
141,0.8257778286933899
142,0.8106666803359985
143,0.8142222166061401
144,0.8364444971084595
145,0.8311111330986023
146,0.8319999575614929
147,0.8257778286933899
148,0.8106666803359985
149,0.8159999847412109
150,0.8115555047988892
