type,step,episode_reward,mean_episode_fC,actor_loss,critic_loss,eval_reward,eval_mean_fC
train_episode,150,1.4782578991435003,0.00849853515625,,,,
train_episode,300,1.4640473190229386,0.008423258463541666,,,,
train_episode,450,1.4771427624946227,0.008514811197916666,,,,
train_episode,600,1.3670959298324306,0.0078116861979166665,,,,
train_episode,750,4.439735388383269,0.029496256510416666,,,,
train_episode,900,13.922200001776218,0.093709716796875,,,,
train_episode,1050,8.226861978881061,0.05476806640625,,,,
train_episode,1200,25.450995922088623,0.171646728515625,,,,
train_episode,1350,52.360259369015694,0.3531905110677083,,,,
train_episode,1500,56.76962272822857,0.3825911458333333,,,,
train_episode,1650,57.187168687582016,0.3851167805989583,,,,
train_episode,1800,61.10225683450699,0.41128702799479167,,,,
train_episode,1950,60.54403868317604,0.4074788411458333,,,,
train_episode,2100,63.74669998884201,0.4289827473958333,,,,
train_episode,2250,63.92307594418526,0.4300968424479167,,,,
train_episode,2400,63.09423670172691,0.42456705729166666,,,,
train_episode,2550,64.65006905794144,0.43504720052083334,,,,
train_episode,2700,66.196706533432,0.445396728515625,,,,
train_episode,2850,66.54537299275398,0.4476806640625,,,,
train_episode,3000,65.58612930774689,0.4413041178385417,,,,
train_episode,3150,67.510189473629,0.45407674153645833,,,,
train_episode,3300,68.42570969462395,0.460238037109375,,,,
train_episode,3450,68.22982054948807,0.458843994140625,,,,
train_episode,3600,66.86082082986832,0.44969563802083334,,,,
train_episode,3750,66.83612442016602,0.44955118815104167,,,,
train_episode,3900,68.74111557006836,0.46230183919270834,,,,
train_episode,4050,69.54090505838394,0.4675797526041667,,,,
train_episode,4200,69.25106298923492,0.4656978352864583,,,,
train_episode,4350,70.97686395049095,0.47727376302083335,,,,
train_episode,4500,72.32133570313454,0.486365966796875,,,,
train_episode,4650,72.84001004695892,0.49032674153645833,,,,
train_episode,4800,72.97431609034538,0.4909944661458333,,,,
train_episode,4950,73.99407038092613,0.49839192708333335,,,,
eval,5000,,,,,71.60263988189696,0.48275390625
train_episode,5100,73.12697684764862,0.492987060546875,,,,
train_episode,5250,74.35318112373352,0.5012528483072917,,,,
train_episode,5400,75.38517165184021,0.50817138671875,,,,
train_episode,5550,77.53900346159935,0.5227909342447916,,,,
train_episode,5700,78.02841264009476,0.5260640462239583,,,,
train_episode,5850,79.36951687932014,0.5348531087239583,,,,
train_episode,6000,80.43674191832542,0.5419364420572916,,,,
train_episode,6150,80.65188869833946,0.5434952799479167,,,,
train_episode,6300,82.7572695016861,0.5576131184895833,,,,
train_episode,6450,81.77195286750793,0.55083251953125,,,,
train_episode,6600,83.33387765288353,0.5614066569010416,,,,
train_episode,6750,85.57734486460686,0.5763675944010417,,,,
train_episode,6900,85.41556534171104,0.5754659016927083,,,,
train_episode,7050,86.97498139739037,0.5859684244791666,,,,
train_episode,7200,89.37797486782074,0.602191162109375,,,,
train_episode,7350,89.77122920751572,0.6046488444010417,,,,
train_episode,7500,88.5881619155407,0.5967159016927084,,,,
train_episode,7650,90.76814389228821,0.6110664876302083,,,,
train_episode,7800,90.52522623538971,0.60951416015625,,,,
train_episode,7950,89.93802765011787,0.6056840006510417,,,,
train_episode,8100,89.49812489748001,0.602586669921875,,,,
train_episode,8250,90.53535336256027,0.6096700032552084,,,,
train_episode,8400,91.19179093837738,0.6145560709635417,,,,
train_episode,8550,95.9215686917305,0.6468074544270833,,,,
train_episode,8700,98.08651313185692,0.6618672688802083,,,,
train_episode,8850,103.04035624861717,0.695123291015625,,,,
train_episode,9000,108.714849203825,0.732679443359375,,,,
train_episode,9150,109.55721917748451,0.738037109375,,,,
train_episode,9300,112.52882790565491,0.7577950032552083,,,,
