type,step,episode_reward,mean_episode_fC,actor_loss,critic_loss,eval_reward,eval_mean_fC
train_episode,150,453.0741333333343,0.01828266666666666,,,,
train_episode,300,465.94506666666683,0.01921066666666667,,,,
train_episode,450,179.16799999999958,0.004853333333333334,,,,
train_episode,600,514.9663999999987,0.020714666666666666,,,,
train_episode,750,649.6581333333356,0.027477333333333343,,,,
train_episode,900,427.5392000000002,0.016650666666666664,,,,
train_episode,1050,577.7903999999996,0.023264000000000003,,,,
train_episode,1200,452.08586666666525,0.017856000000000004,,,,
train_episode,1350,466.8080000000005,0.018506666666666664,,,,
train_episode,1500,540.273599999999,0.021493333333333333,,,,
train_episode,1650,670.9664000000004,0.02894933333333334,,,,
train_episode,1800,525.2229333333343,0.021621333333333336,,,,
train_episode,1950,340.19520000000045,0.012202666666666669,,,,
train_episode,2100,412.2927999999997,0.015424000000000007,,,,
train_episode,2250,542.2143999999984,0.021759999999999998,,,,
train_episode,2400,699.9200000000022,0.030069333333333337,,,,
train_episode,2550,641.7840000000009,0.02680533333333333,,,,
train_episode,2700,445.32639999999867,0.01701333333333333,,,,
train_episode,2850,447.12959999999924,0.01719466666666666,,,,
