r,fC_final,avgR_final
3.9,0.0,33.320263671875
4.0,0.0,42.47607421875
4.1,0.0,229.1971565246582
4.2,0.091796875,5224.2944581985475
4.3,0.3216796875,12037.273046875
4.4,0.42734375,18358.47109375
4.5,0.57822265625,23808.096875
5.0,0.812890625,40100.41015625
