t,fC_mean,fC_std,fD_mean,fD_std,avgR_mean,avgR_std
0,0.31328125,0.025603077512771782,0.68671875,0.02560307751277178,7.453125,0.2384412884692477
1,0.19609375,0.035750191214523594,0.80390625,0.035750191214523594,12.152343559265137,0.5913034667243701
2,0.13671875,0.0533885923852184,0.86328125,0.0533885923852184,15.093749809265137,0.9731504563584069
3,0.0890625,0.04805798906009281,0.9109375,0.04805798906009281,17.14453125,1.7257227171490717
4,0.0578125,0.03909373750999001,0.9421875,0.03909373750999001,18.48046875,2.4115012201459955
5,0.0390625,0.029022149407822984,0.9609375,0.029022149407822984,19.34765625,2.9695876696495045
6,0.0265625,0.01935861202088104,0.9734375,0.01935861202088104,19.93359375,3.361749705731284
7,0.01796875,0.01494619255446015,0.98203125,0.014946192554460148,20.332031631469725,3.6020631297405994
8,0.01484375,0.012451076133210334,0.98515625,0.012451076133210334,20.601562881469725,3.7676471947113557
9,0.00625,0.005298695299316617,0.99375,0.005298695299316616,20.82421875,3.8933066812238795
10,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
11,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
12,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
13,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
14,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
15,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
16,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
17,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
18,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
19,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
20,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
21,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
22,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
23,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
24,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
25,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
26,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
27,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
28,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
29,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
30,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
31,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
32,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
33,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
