t,fC_mean,fC_std,fD_mean,fD_std,avgR_mean,avgR_std
0,0.26015625,0.022179796197778733,0.73984375,0.022179796197778733,1.490625,0.04768825769384954
1,0.109375,0.02139541240254555,0.890625,0.02139541240254555,2.27109375,0.10953113855201178
2,0.03984375,0.01997923726960066,0.96015625,0.01997923726960066,2.59921875,0.14128750193532688
3,0.00703125,0.004555431167847891,0.99296875,0.004555431167847891,2.71875,0.19845902934390514
4,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
5,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
6,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
7,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
8,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
9,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
10,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
11,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
12,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
13,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
14,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
15,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
16,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
17,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
18,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
19,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
20,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
21,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
22,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
23,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
24,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
25,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
26,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
27,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
28,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
29,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
30,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
31,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
32,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
33,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
34,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
35,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
36,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
37,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
38,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
39,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
40,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
41,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
42,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
43,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
44,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
45,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
46,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
47,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
48,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
49,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
50,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
51,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
52,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
53,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
54,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
55,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
56,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
57,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
58,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
59,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
60,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
61,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
62,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
63,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
64,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
65,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
66,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
67,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
68,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
69,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
70,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
71,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
72,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
73,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
74,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
75,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
76,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
77,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
78,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
79,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
80,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
81,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
82,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
83,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
84,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
85,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
86,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
87,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
88,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
89,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
90,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
91,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
92,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
93,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
94,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
95,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
96,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
97,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
98,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
99,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
100,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
101,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
102,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
103,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
104,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
105,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
106,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
107,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
108,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
109,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
110,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
111,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
112,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
113,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
114,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
115,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
116,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
117,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
118,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
119,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
120,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
121,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
122,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
123,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
124,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
125,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
126,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
127,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
128,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
129,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
130,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
131,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
132,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
133,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
134,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
135,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
136,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
137,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
138,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
139,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
140,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
141,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
142,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
143,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
144,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
145,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
146,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
147,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
148,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
149,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
150,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
151,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
152,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
153,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
154,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
155,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
156,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
157,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
158,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
159,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
160,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
161,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
162,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
163,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
164,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
165,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
166,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
167,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
168,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
169,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
170,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
171,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
172,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
173,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
174,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
175,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
176,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
177,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
178,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
179,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
180,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
181,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
182,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
183,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
184,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
185,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
186,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
187,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
188,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
189,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
190,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
191,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
192,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
193,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
194,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
195,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
196,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
197,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
198,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
199,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
200,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
201,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
202,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
203,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
204,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
205,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
206,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
207,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
208,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
209,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
210,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
211,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
212,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
213,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
214,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
215,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
216,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
217,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
218,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
219,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
220,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
221,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
222,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
223,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
224,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
225,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
226,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
227,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
228,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
229,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
230,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
231,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
232,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
233,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
234,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
235,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
236,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
237,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
238,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
239,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
240,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
241,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
242,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
243,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
244,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
245,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
246,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
247,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
248,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
249,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
250,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
251,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
252,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
253,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
254,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
255,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
256,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
257,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
258,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
259,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
260,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
261,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
262,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
263,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
264,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
265,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
266,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
267,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
268,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
269,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
270,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
271,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
272,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
273,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
274,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
275,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
276,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
277,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
278,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
279,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
280,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
281,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
282,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
283,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
284,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
285,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
286,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
287,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
288,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
289,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
290,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
291,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
292,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
293,0.0,0.0,1.0,0.0,2.73984375,0.20942163659708135
