t,fC_mean,fC_std,fD_mean,fD_std,avgR_mean,avgR_std
0,0.296875,0.025674494883054663,0.703125,0.025674494883054663,6.459375,0.20664911667334804
1,0.16875,0.03532079548580411,0.83125,0.03532079548580411,10.31875,0.5271475329396648
2,0.10234375,0.043103481950417875,0.89765625,0.043103481950417875,12.5125,0.802665085969469
3,0.06640625,0.03286825619994161,0.93359375,0.03286825619994161,13.84296875,1.3476084683558407
4,0.0359375,0.019825902406952377,0.9640625,0.019825902406952374,14.706250381469726,1.7492940742525738
5,0.01953125,0.014615849167085708,0.98046875,0.014615849167085708,15.173437690734863,1.9707834487137361
6,0.01328125,0.013887803777055606,0.98671875,0.013887803777055606,15.427343940734863,2.061093106732836
7,0.00703125,0.00869963181692191,0.99296875,0.00869963181692191,15.600000190734864,2.127097834418765
8,0.0078125,0.009568319307746789,0.9921875,0.009568319307746789,15.69140682220459,2.214668642418481
9,0.00390625,0.004941058844013093,0.99609375,0.004941058844013093,15.792968940734863,2.302580966644227
10,0.0,0.0,1.0,0.0,15.843750190734863,2.3372616829354502
11,0.0,0.0,1.0,0.0,15.843750190734863,2.3372616829354502
12,0.0,0.0,1.0,0.0,15.843750190734863,2.3372616829354502
13,0.0,0.0,1.0,0.0,15.843750190734863,2.3372616829354502
14,0.0,0.0,1.0,0.0,15.843750190734863,2.3372616829354502
15,0.0,0.0,1.0,0.0,15.843750190734863,2.3372616829354502
16,0.0,0.0,1.0,0.0,15.843750190734863,2.3372616829354502
17,0.0,0.0,1.0,0.0,15.843750190734863,2.3372616829354502
18,0.0,0.0,1.0,0.0,15.843750190734863,2.3372616829354502
19,0.0,0.0,1.0,0.0,15.843750190734863,2.3372616829354502
20,0.0,0.0,1.0,0.0,15.843750190734863,2.3372616829354502
21,0.0,0.0,1.0,0.0,15.843750190734863,2.3372616829354502
22,0.0,0.0,1.0,0.0,15.843750190734863,2.3372616829354502
23,0.0,0.0,1.0,0.0,15.843750190734863,2.3372616829354502
24,0.0,0.0,1.0,0.0,15.843750190734863,2.3372616829354502
25,0.0,0.0,1.0,0.0,15.843750190734863,2.3372616829354502
26,0.0,0.0,1.0,0.0,15.843750190734863,2.3372616829354502
27,0.0,0.0,1.0,0.0,15.843750190734863,2.3372616829354502
28,0.0,0.0,1.0,0.0,15.843750190734863,2.3372616829354502
29,0.0,0.0,1.0,0.0,15.843750190734863,2.3372616829354502
30,0.0,0.0,1.0,0.0,15.843750190734863,2.3372616829354502
31,0.0,0.0,1.0,0.0,15.843750190734863,2.3372616829354502
32,0.0,0.0,1.0,0.0,15.843750190734863,2.3372616829354502
33,0.0,0.0,1.0,0.0,15.843750190734863,2.3372616829354502
34,0.0,0.0,1.0,0.0,15.843750190734863,2.3372616829354502
35,0.0,0.0,1.0,0.0,15.843750190734863,2.3372616829354502
36,0.0,0.0,1.0,0.0,15.843750190734863,2.3372616829354502
37,0.0,0.0,1.0,0.0,15.843750190734863,2.3372616829354502
38,0.0,0.0,1.0,0.0,15.843750190734863,2.3372616829354502
39,0.0,0.0,1.0,0.0,15.843750190734863,2.3372616829354502
40,0.0,0.0,1.0,0.0,15.843750190734863,2.3372616829354502
41,0.0,0.0,1.0,0.0,15.843750190734863,2.3372616829354502
42,0.0,0.0,1.0,0.0,15.843750190734863,2.3372616829354502
43,0.0,0.0,1.0,0.0,15.843750190734863,2.3372616829354502
44,0.0,0.0,1.0,0.0,15.843750190734863,2.3372616829354502
45,0.0,0.0,1.0,0.0,15.843750190734863,2.3372616829354502
