t,fC_mean,fC_std,fD_mean,fD_std,avgR_mean,avgR_std
0,0.496875,0.015896085897949847,0.503125,0.015896085897949847,0.0,0.0
1,0.3171875,0.02766551751504027,0.6828125,0.02766551751504027,7.701562404632568,0.2463894767170985
2,0.20703125,0.03467553284558148,0.79296875,0.03467553284558148,12.61796875,0.6494058093930462
3,0.14921875,0.055868934933691015,0.85078125,0.055868934933691015,15.826952934265137,1.048423137722832
4,0.10546875,0.04990224819584785,0.89453125,0.04990224819584785,18.13984375,1.854198002354008
5,0.06953125,0.04748303562194608,0.93046875,0.04748303562194608,19.774608993530272,2.555221665675976
6,0.04921875,0.039651804813904755,0.95078125,0.039651804813904755,20.85234375,3.200084208334163
7,0.03359375,0.028125,0.96640625,0.028125000000000004,21.615234375,3.644901759703631
8,0.02890625,0.024407030237208294,0.97109375,0.024407030237208294,22.1359375,3.952111174961784
9,0.02578125,0.022857404434887176,0.97421875,0.022857404434887176,22.583984375,4.189913745802606
10,0.0171875,0.018912060057672195,0.9828125,0.018912060057672195,22.98359375,4.382456257803664
11,0.01484375,0.02425652296290628,0.98515625,0.024256522962906285,23.25,4.51924730363434
12,0.01328125,0.02285740443488718,0.98671875,0.022857404434887176,23.480078125,4.648075977275688
13,0.0109375,0.021875,0.9890625,0.021875,23.6859375,4.793905649058011
14,0.0125,0.025000000000000005,0.9875,0.024999999999999998,23.85546875,4.952719571340957
15,0.0109375,0.021875,0.9890625,0.021875,24.04921875,5.155579738633305
16,0.0125,0.025000000000000005,0.9875,0.024999999999999998,24.21875,5.349822652854222
17,0.0109375,0.021875,0.9890625,0.021875,24.4125,5.58876190614296
18,0.01015625,0.0203125,0.98984375,0.0203125,24.58203125,5.8109861309809645
19,0.0109375,0.021875,0.9890625,0.021875,24.739453125,6.027087876333227
20,0.0125,0.025000000000000005,0.9875,0.024999999999999998,24.908984375,6.2691720837541745
21,0.01015625,0.0203125,0.98984375,0.0203125,25.102734375,6.556373931033461
22,0.009375,0.018750000000000003,0.990625,0.018750000000000003,25.26015625,6.797060252504157
23,0.0078125,0.015625,0.9921875,0.015625,25.40546875,7.024439583685217
24,0.0078125,0.015625,0.9921875,0.015625,25.5265625,7.217390674573052
25,0.00546875,0.0109375,0.99453125,0.0109375,25.64765625,7.41323238569363
26,0.00390625,0.0078125,0.99609375,0.0078125,25.732421875,7.551921210993318
27,0.003125,0.006250000000000001,0.996875,0.00625,25.79296875,7.651745326588487
28,0.0015625,0.0031250000000000006,0.9984375,0.003125,25.84140625,7.7320421829138635
29,0.00078125,0.0015625000000000003,0.99921875,0.0015625,25.865625,7.772332325645465
30,0.00078125,0.0015625000000000003,0.99921875,0.0015625,25.877734375,7.79251218509058
31,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
32,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
33,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
34,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
35,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
36,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
37,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
38,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
39,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
40,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
41,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
42,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
43,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
44,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
45,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
46,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
47,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
48,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
49,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
50,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
51,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
52,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
53,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
54,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
55,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
56,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
57,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
58,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
59,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
60,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
61,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
62,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
63,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
64,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
65,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
66,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
67,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
68,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
69,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
70,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
71,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
72,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
73,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
74,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
75,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
76,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
77,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
78,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
79,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
80,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
81,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
82,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
83,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
84,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
85,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
86,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
87,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
88,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
89,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
90,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
91,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
92,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
93,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
94,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
95,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
96,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
97,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
98,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
99,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
100,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
101,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
102,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
103,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
104,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
105,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
106,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
107,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
108,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
109,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
110,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
111,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
112,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
113,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
114,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
115,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
116,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
117,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
118,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
119,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
120,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
121,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
122,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
123,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
124,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
125,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
126,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
127,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
128,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
129,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
130,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
131,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
132,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
133,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
134,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
135,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
136,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
137,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
138,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
139,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
140,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
141,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
142,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
143,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
144,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
145,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
146,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
147,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
148,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
149,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
150,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
151,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
152,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
153,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
154,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
155,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
156,0.0,0.0,1.0,0.0,25.88984375,7.812714997041682
