t,fC_mean,fC_std,fD_mean,fD_std,avgR_mean,avgR_std
0,0.26640625,0.021735043348818057,0.73359375,0.021735043348818053,2.484375,0.07948042948974923
1,0.115625,0.02272349933163904,0.884375,0.022723499331639044,3.81640625,0.1758246527176803
2,0.04296875,0.021678807696111888,0.95703125,0.021678807696111888,4.39453125,0.22676445740156237
3,0.0078125,0.005524271728019903,0.9921875,0.005524271728019903,4.609375,0.33122604571406367
4,0.0,0.0,1.0,0.0,4.6484375,0.3526459001028865
5,0.0,0.0,1.0,0.0,4.6484375,0.3526459001028865
6,0.0,0.0,1.0,0.0,4.6484375,0.3526459001028865
7,0.0,0.0,1.0,0.0,4.6484375,0.3526459001028865
8,0.0,0.0,1.0,0.0,4.6484375,0.3526459001028865
9,0.0,0.0,1.0,0.0,4.6484375,0.3526459001028865
10,0.0,0.0,1.0,0.0,4.6484375,0.3526459001028865
11,0.0,0.0,1.0,0.0,4.6484375,0.3526459001028865
12,0.0,0.0,1.0,0.0,4.6484375,0.3526459001028865
13,0.0,0.0,1.0,0.0,4.6484375,0.3526459001028865
14,0.0,0.0,1.0,0.0,4.6484375,0.3526459001028865
15,0.0,0.0,1.0,0.0,4.6484375,0.3526459001028865
16,0.0,0.0,1.0,0.0,4.6484375,0.3526459001028865
17,0.0,0.0,1.0,0.0,4.6484375,0.3526459001028865
18,0.0,0.0,1.0,0.0,4.6484375,0.3526459001028865
19,0.0,0.0,1.0,0.0,4.6484375,0.3526459001028865
20,0.0,0.0,1.0,0.0,4.6484375,0.3526459001028865
21,0.0,0.0,1.0,0.0,4.6484375,0.3526459001028865
22,0.0,0.0,1.0,0.0,4.6484375,0.3526459001028865
23,0.0,0.0,1.0,0.0,4.6484375,0.3526459001028865
24,0.0,0.0,1.0,0.0,4.6484375,0.3526459001028865
25,0.0,0.0,1.0,0.0,4.6484375,0.3526459001028865
26,0.0,0.0,1.0,0.0,4.6484375,0.3526459001028865
27,0.0,0.0,1.0,0.0,4.6484375,0.3526459001028865
28,0.0,0.0,1.0,0.0,4.6484375,0.3526459001028865
29,0.0,0.0,1.0,0.0,4.6484375,0.3526459001028865
30,0.0,0.0,1.0,0.0,4.6484375,0.3526459001028865
31,0.0,0.0,1.0,0.0,4.6484375,0.3526459001028865
32,0.0,0.0,1.0,0.0,4.6484375,0.3526459001028865
33,0.0,0.0,1.0,0.0,4.6484375,0.3526459001028865
34,0.0,0.0,1.0,0.0,4.6484375,0.3526459001028865
35,0.0,0.0,1.0,0.0,4.6484375,0.3526459001028865
36,0.0,0.0,1.0,0.0,4.6484375,0.3526459001028865
37,0.0,0.0,1.0,0.0,4.6484375,0.3526459001028865
38,0.0,0.0,1.0,0.0,4.6484375,0.3526459001028865
39,0.0,0.0,1.0,0.0,4.6484375,0.3526459001028865
40,0.0,0.0,1.0,0.0,4.6484375,0.3526459001028865
41,0.0,0.0,1.0,0.0,4.6484375,0.3526459001028865
42,0.0,0.0,1.0,0.0,4.6484375,0.3526459001028865
43,0.0,0.0,1.0,0.0,4.6484375,0.3526459001028865
44,0.0,0.0,1.0,0.0,4.6484375,0.3526459001028865
45,0.0,0.0,1.0,0.0,4.6484375,0.3526459001028865
46,0.0,0.0,1.0,0.0,4.6484375,0.3526459001028865
47,0.0,0.0,1.0,0.0,4.6484375,0.3526459001028865
48,0.0,0.0,1.0,0.0,4.6484375,0.3526459001028865
49,0.0,0.0,1.0,0.0,4.6484375,0.3526459001028865
