t,fC_mean,fC_std,fD_mean,fD_std,avgR_mean,avgR_std
0,0.496875,0.015896085897949847,0.503125,0.015896085897949847,0.0,0.0
1,0.31328125,0.025603077512771782,0.68671875,0.02560307751277178,7.453125,0.2384412884692477
2,0.19609375,0.035750191214523594,0.80390625,0.035750191214523594,12.152343559265137,0.5913034667243701
3,0.13671875,0.0533885923852184,0.86328125,0.0533885923852184,15.093749809265137,0.9731504563584069
4,0.0890625,0.04805798906009281,0.9109375,0.04805798906009281,17.14453125,1.7257227171490717
5,0.0578125,0.03909373750999001,0.9421875,0.03909373750999001,18.48046875,2.4115012201459955
6,0.0390625,0.029022149407822984,0.9609375,0.029022149407822984,19.34765625,2.9695876696495045
7,0.0265625,0.01935861202088104,0.9734375,0.01935861202088104,19.93359375,3.361749705731284
8,0.01796875,0.01494619255446015,0.98203125,0.014946192554460148,20.332031631469725,3.6020631297405994
9,0.01484375,0.012451076133210334,0.98515625,0.012451076133210334,20.601562881469725,3.7676471947113557
10,0.00625,0.005298695299316617,0.99375,0.005298695299316616,20.82421875,3.8933066812238795
11,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
12,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
13,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
14,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
15,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
16,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
17,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
18,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
19,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
20,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
21,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
22,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
23,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
24,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
25,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
26,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
27,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
28,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
29,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
30,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
31,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
32,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
33,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
34,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
35,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
36,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
37,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
38,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
39,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
40,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
41,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
42,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
43,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
44,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
45,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
46,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
47,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
48,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
49,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
50,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
51,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
52,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
53,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
54,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
55,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
56,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
57,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
58,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
59,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
60,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
61,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
62,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
63,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
64,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
65,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
66,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
67,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
68,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
69,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
70,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
71,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
72,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
73,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
74,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
75,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
76,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
77,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
78,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
79,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
80,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
81,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
82,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
83,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
84,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
85,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
86,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
87,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
88,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
89,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
90,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
91,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
92,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
93,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
94,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
95,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
96,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
97,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
98,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
99,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
100,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
101,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
102,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
103,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
104,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
105,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
106,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
107,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
108,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
109,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
110,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
111,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
112,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
113,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
114,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
115,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
116,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
117,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
118,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
119,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
120,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
121,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
122,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
123,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
124,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
125,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
126,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
127,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
128,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
129,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
130,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
131,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
132,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
133,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
134,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
135,0.0,0.0,1.0,0.0,20.91796875,3.953406764908985
