t,fC_mean,fC_std,fD_mean,fD_std,avgR_mean,avgR_std
0,0.284375,0.023619088215360896,0.715625,0.023619088215360896,5.465625,0.17485694487744832
1,0.1484375,0.028598445652692386,0.8515625,0.028598445652692386,8.593750190734863,0.43140301615823073
2,0.07734375,0.03758129209626779,0.92265625,0.037581292096267795,10.2265625,0.6015625
3,0.040625,0.02312288841710741,0.959375,0.02312288841710741,11.077343940734863,0.9833747107817782
4,0.01328125,0.012741801898671945,0.98671875,0.012741801898671945,11.52421875,1.2296572224671496
5,0.00234375,0.003125,0.99765625,0.003125,11.6703125,1.3660008242871324
6,0.0,0.0,1.0,0.0,11.69609375,1.399330633089666
7,0.0,0.0,1.0,0.0,11.69609375,1.399330633089666
8,0.0,0.0,1.0,0.0,11.69609375,1.399330633089666
9,0.0,0.0,1.0,0.0,11.69609375,1.399330633089666
10,0.0,0.0,1.0,0.0,11.69609375,1.399330633089666
11,0.0,0.0,1.0,0.0,11.69609375,1.399330633089666
12,0.0,0.0,1.0,0.0,11.69609375,1.399330633089666
13,0.0,0.0,1.0,0.0,11.69609375,1.399330633089666
14,0.0,0.0,1.0,0.0,11.69609375,1.399330633089666
15,0.0,0.0,1.0,0.0,11.69609375,1.399330633089666
16,0.0,0.0,1.0,0.0,11.69609375,1.399330633089666
17,0.0,0.0,1.0,0.0,11.69609375,1.399330633089666
18,0.0,0.0,1.0,0.0,11.69609375,1.399330633089666
19,0.0,0.0,1.0,0.0,11.69609375,1.399330633089666
20,0.0,0.0,1.0,0.0,11.69609375,1.399330633089666
21,0.0,0.0,1.0,0.0,11.69609375,1.399330633089666
22,0.0,0.0,1.0,0.0,11.69609375,1.399330633089666
23,0.0,0.0,1.0,0.0,11.69609375,1.399330633089666
24,0.0,0.0,1.0,0.0,11.69609375,1.399330633089666
25,0.0,0.0,1.0,0.0,11.69609375,1.399330633089666
26,0.0,0.0,1.0,0.0,11.69609375,1.399330633089666
27,0.0,0.0,1.0,0.0,11.69609375,1.399330633089666
28,0.0,0.0,1.0,0.0,11.69609375,1.399330633089666
29,0.0,0.0,1.0,0.0,11.69609375,1.399330633089666
30,0.0,0.0,1.0,0.0,11.69609375,1.399330633089666
31,0.0,0.0,1.0,0.0,11.69609375,1.399330633089666
32,0.0,0.0,1.0,0.0,11.69609375,1.399330633089666
33,0.0,0.0,1.0,0.0,11.69609375,1.399330633089666
34,0.0,0.0,1.0,0.0,11.69609375,1.399330633089666
35,0.0,0.0,1.0,0.0,11.69609375,1.399330633089666
