r,fC_final,avgR_final
4.0,0.0,20.91796875
4.1,0.0,25.88984375
4.2,0.0,458.77500038146974
4.3,0.2578125,6843.27304725647
4.4,0.2734375,12537.1390625
4.5,0.48125,19102.425390625
5.0,0.62890625,31873.59375
