t,fC_mean,fC_std,fD_mean,fD_std,avgR_mean,avgR_std
0,0.49326171875,0.02016288234208642,0.50673828125,0.02016288234208642,0.0,0.0
1,0.3220703125,0.019353685037008295,0.6779296875,0.01935368503700829,7.39892578125,0.3024432351312963
2,0.21142578125,0.0250664780805812,0.78857421875,0.0250664780805812,12.229980564117431,0.5732183380787775
3,0.1455078125,0.027458603652603702,0.8544921875,0.027458603652603702,15.4013671875,0.8931992120789718
4,0.10517578125,0.025243904511105652,0.89482421875,0.025243904511105652,17.583984375,1.2085484718762884
5,0.0771484375,0.023229053536953592,0.9228515625,0.023229053536953592,19.16162109375,1.5296567296176216
6,0.06103515625,0.022572117834621524,0.93896484375,0.022572117834621524,20.318847846984863,1.8335428146627812
7,0.04990234375,0.02362574952566403,0.95009765625,0.023625749525664028,21.234375,2.1141730099909792
8,0.0458984375,0.02479391990701488,0.9541015625,0.02479391990701488,21.98291015625,2.3737705963832183
9,0.0412109375,0.023723836843358888,0.9587890625,0.023723836843358888,22.67138671875,2.6456639443389482
10,0.037109375,0.025190769939339264,0.962890625,0.025190769939339264,23.28955078125,2.9041571926653837
11,0.03154296875,0.024402536341684374,0.96845703125,0.024402536341684374,23.846191596984863,3.1762021515170447
12,0.0287109375,0.025678951873780543,0.9712890625,0.025678951873780546,24.319335746765137,3.4432475640941163
13,0.0259765625,0.022706705670833785,0.9740234375,0.022706705670833785,24.75,3.7442231504989687
14,0.02490234375,0.02292011119502658,0.97509765625,0.02292011119502658,25.1396484375,4.023874322085187
15,0.02353515625,0.02306610856603001,0.97646484375,0.02306610856603001,25.51318359375,4.313341639116286
16,0.02236328125,0.022653092789176474,0.97763671875,0.02265309278917647,25.8662109375,4.607965389598568
17,0.02333984375,0.02301229695526343,0.97666015625,0.023012296955263432,26.201660346984863,4.895253367920127
18,0.0234375,0.022806445846908472,0.9765625,0.022806445846908472,26.5517578125,5.177078625723568
19,0.0236328125,0.022319527681337003,0.9763671875,0.022319527681337003,26.9033203125,5.455327504621351
20,0.02392578125,0.024559139264459837,0.97607421875,0.024559139264459837,27.2578125,5.734019671249044
21,0.02353515625,0.02570215287152898,0.97646484375,0.02570215287152898,27.61669921875,6.046381198326338
22,0.022265625,0.024958003055210693,0.977734375,0.024958003055210693,27.969726371765137,6.378533166748794
23,0.02109375,0.02372544474853159,0.97890625,0.02372544474853159,28.303710746765137,6.6990486398124816
