t,fC_mean,fC_std,fD_mean,fD_std,avgR_mean,avgR_std
0,0.271875,0.020009763241977653,0.728125,0.020009763241977653,3.974999952316284,0.1271687481153162
1,0.125,0.022507594204512395,0.875,0.022507594204512395,6.15,0.2769814975770042
2,0.05546875,0.025121773735646134,0.94453125,0.025121773735646134,7.149999904632568,0.3746871215209239
3,0.02265625,0.01384378527083543,0.97734375,0.01384378527083543,7.593749904632569,0.5642335405209987
4,0.00546875,0.005846339666834283,0.99453125,0.005846339666834283,7.775,0.6726812023536856
5,0.00078125,0.0015625,0.99921875,0.0015625,7.818750095367432,0.7189945145041196
6,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
7,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
8,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
9,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
10,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
11,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
12,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
13,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
14,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
15,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
16,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
17,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
18,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
19,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
20,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
21,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
22,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
23,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
24,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
25,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
26,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
27,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
28,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
29,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
30,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
31,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
32,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
33,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
34,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
35,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
36,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
37,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
38,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
39,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
40,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
41,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
42,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
43,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
44,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
45,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
46,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
47,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
48,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
49,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
50,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
51,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
52,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
53,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
54,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
55,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
56,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
57,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
58,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
59,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
60,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
61,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
62,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
63,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
64,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
65,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
66,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
67,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
68,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
69,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
70,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
71,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
72,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
73,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
74,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
75,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
76,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
77,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
78,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
79,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
80,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
81,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
82,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
83,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
84,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
85,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
86,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
87,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
88,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
89,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
90,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
91,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
92,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
93,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
94,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
95,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
96,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
97,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
98,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
99,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
100,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
101,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
102,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
103,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
104,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
105,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
106,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
107,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
108,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
109,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
110,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
111,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
112,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
113,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
114,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
115,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
116,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
117,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
118,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
119,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
120,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
121,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
122,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
123,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
124,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
125,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
126,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
127,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
128,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
129,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
130,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
131,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
132,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
133,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
134,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
135,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
136,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
137,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
138,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
139,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
140,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
141,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
142,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
143,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
144,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
145,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
146,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
147,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
148,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
149,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
150,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
151,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
152,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
153,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
154,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
155,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
156,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
157,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
158,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
159,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
160,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
161,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
162,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
163,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
164,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
165,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
166,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
167,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
168,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
169,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
170,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
171,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
172,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
173,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
174,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
175,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
176,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
177,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
178,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
179,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
180,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
181,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
182,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
183,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
184,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
185,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
186,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
187,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
188,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
189,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
190,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
191,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
192,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
193,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
194,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
195,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
196,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
197,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
198,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
199,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
200,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
201,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
202,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
203,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
204,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
205,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
206,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
207,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
208,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
209,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
210,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
211,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
212,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
213,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
214,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
215,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
216,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
217,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
218,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
219,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
220,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
221,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
222,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
223,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
224,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
225,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
226,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
227,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
228,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
229,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
230,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
231,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
232,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
233,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
234,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
235,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
236,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
237,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
238,0.0,0.0,1.0,0.0,7.8250000953674315,0.7290297392390255
