L,r,allocation,hybrid_w,episode_length,episodes,steady_mean_fC,final_fC
15,1.5,labor,0.5,150,5,1.0,1.0
15,2.0,labor,0.5,150,5,1.0,1.0
15,2.5,labor,0.5,150,5,1.0,1.0
15,3.0,labor,0.5,150,5,1.0,1.0
15,3.5,labor,0.5,150,5,1.0,1.0
15,4.0,labor,0.5,150,5,1.0,1.0
15,4.5,labor,0.5,150,5,1.0,1.0
32,1.5,labor,0.5,150,5,1.0,1.0
32,2.0,labor,0.5,150,5,1.0,1.0
32,2.5,labor,0.5,150,5,1.0,1.0
32,3.0,labor,0.5,150,5,0.9996091723442078,0.9996093511581421
32,3.5,labor,0.5,150,5,0.9996091723442078,0.9996093511581421
32,4.0,labor,0.5,150,5,1.0,1.0
32,4.5,labor,0.5,150,5,0.9998046159744263,0.999804675579071
50,1.5,labor,0.5,150,5,1.0,1.0
50,2.0,labor,0.5,150,5,0.9999199509620667,0.9999200105667114
50,2.5,labor,0.5,150,5,0.9992799758911133,0.9992799758911133
50,3.0,labor,0.5,150,5,0.9996797442436218,0.9996799230575562
50,3.5,labor,0.5,150,5,0.9998399019241333,0.9998399615287781
50,4.0,labor,0.5,150,5,0.9998399019241333,0.9998399615287781
50,4.5,labor,0.5,150,5,0.9996797442436218,0.9996799230575562
15,1.5,equal,0.5,150,5,0.0,0.0
15,2.0,equal,0.5,150,5,0.0,0.0
15,2.5,equal,0.5,150,5,0.0,0.0
15,3.0,equal,0.5,150,5,0.0,0.0
15,3.5,equal,0.5,150,5,0.0,0.0
15,4.0,equal,0.5,150,5,0.22103704512119293,0.20888888835906982
15,4.5,equal,0.5,150,5,0.7893333435058594,0.792888879776001
32,1.5,equal,0.5,150,5,0.0,0.0
32,2.0,equal,0.5,150,5,0.0,0.0
32,2.5,equal,0.5,150,5,0.0,0.0
32,3.0,equal,0.5,150,5,0.0,0.0
32,3.5,equal,0.5,150,5,0.0,0.0
32,4.0,equal,0.5,150,5,0.4459114074707031,0.45683592557907104
32,4.5,equal,0.5,150,5,0.80391925573349,0.8052734136581421
50,1.5,equal,0.5,150,5,0.0,0.0
50,2.0,equal,0.5,150,5,0.0,0.0
50,2.5,equal,0.5,150,5,0.0,0.0
50,3.0,equal,0.5,150,5,0.0,0.0
50,3.5,equal,0.5,150,5,0.0,0.0
50,4.0,equal,0.5,150,5,0.35652798414230347,0.37400001287460327
50,4.5,equal,0.5,150,5,0.8092052936553955,0.8152000308036804
