t,mean_fC
1,0.3111328184604645
2,0.216796875
3,0.16445311903953552
4,0.1435546875
5,0.13535156846046448
6,0.13984374701976776
7,0.14492186903953552
8,0.15390625596046448
9,0.16718749701976776
10,0.18125000596046448
11,0.19218750298023224
12,0.20097656548023224
13,0.21308593451976776
14,0.2255859375
15,0.234375
16,0.24941405653953552
17,0.2685546875
18,0.2835937440395355
19,0.28886717557907104
20,0.3080078065395355
21,0.3199218809604645
22,0.32402342557907104
23,0.33378905057907104
24,0.3501953184604645
25,0.3744140565395355
26,0.39082032442092896
27,0.40625
28,0.4166015684604645
29,0.4365234375
30,0.45332032442092896
31,0.4662109315395355
32,0.4800781309604645
33,0.49199217557907104
34,0.5064452886581421
35,0.517773449420929
36,0.529492199420929
37,0.542187511920929
38,0.554492175579071
39,0.5589843988418579
40,0.5667968988418579
41,0.5716797113418579
42,0.57421875
43,0.5826171636581421
44,0.588085949420929
45,0.5970703363418579
46,0.600390613079071
47,0.6021484136581421
48,0.619921863079071
49,0.6246093511581421
50,0.638671875
51,0.6455078125
52,0.650390625
53,0.6568359136581421
54,0.657421886920929
55,0.665820300579071
56,0.670703113079071
57,0.6724609136581421
58,0.6787109375
59,0.675000011920929
60,0.6869140863418579
61,0.6978515386581421
62,0.700976550579071
63,0.703125
64,0.7076171636581421
65,0.7181640863418579
66,0.711718738079071
67,0.707226574420929
68,0.717578113079071
69,0.723828136920929
70,0.732617199420929
71,0.740429699420929
72,0.7392578125
73,0.742382824420929
74,0.744335949420929
75,0.7376953363418579
76,0.7376953363418579
77,0.7388671636581421
78,0.740234375
79,0.746289074420929
80,0.748828113079071
81,0.753710925579071
82,0.755859375
83,0.7505859136581421
84,0.7548828125
85,0.755859375
86,0.758593738079071
87,0.7601562738418579
88,0.764843761920929
89,0.7564452886581421
90,0.752734363079071
91,0.7613281011581421
92,0.753710925579071
93,0.7564452886581421
94,0.751757800579071
95,0.757031261920929
96,0.766796886920929
97,0.769726574420929
98,0.7662109136581421
99,0.7652343511581421
100,0.7601562738418579
101,0.766796886920929
102,0.7626953125
103,0.767382800579071
104,0.770312488079071
105,0.765429675579071
106,0.7689453363418579
107,0.7728515863418579
108,0.7724609375
109,0.7759765386581421
110,0.776562511920929
111,0.7789062261581421
112,0.7802734375
113,0.779296875
114,0.77734375
115,0.782031238079071
116,0.782421886920929
117,0.7845703363418579
118,0.79296875
119,0.788867175579071
120,0.792187511920929
121,0.792187511920929
122,0.794726550579071
123,0.8021484613418579
124,0.80078125
125,0.793749988079071
126,0.7955077886581421
127,0.797656238079071
128,0.800976574420929
129,0.8080078363418579
130,0.8037109375
131,0.807421863079071
132,0.8099609613418579
133,0.8099609613418579
134,0.8056640625
135,0.8017578125
136,0.808398425579071
137,0.8050781488418579
138,0.8037109375
139,0.8060547113418579
140,0.803906261920929
141,0.803515613079071
142,0.8072265386581421
143,0.801953136920929
144,0.800976574420929
145,0.8011718988418579
146,0.8017578125
147,0.8023437261581421
148,0.8021484613418579
149,0.8052734136581421
150,0.8052734136581421
