t,mean_fC
1,0.30683594942092896
2,0.19589844346046448
3,0.12050781399011612
4,0.08339843899011612
5,0.07558593899011612
6,0.06875000149011612
7,0.07207031548023224
8,0.07675781100988388
9,0.07851562649011612
10,0.08515624701976776
11,0.08652343600988388
12,0.08867187798023224
13,0.09101562201976776
14,0.09492187201976776
15,0.09746094048023224
16,0.10664062201976776
17,0.10898437350988388
18,0.11152343451976776
19,0.11894531548023224
20,0.12480469048023224
21,0.12539061903953552
22,0.13105468451976776
23,0.13300780951976776
24,0.13222655653953552
25,0.1357421875
26,0.13691405951976776
27,0.1435546875
28,0.14609375596046448
29,0.1494140625
30,0.15214844048023224
31,0.15585938096046448
32,0.16289062798023224
33,0.16152343153953552
34,0.16445311903953552
35,0.1708984375
36,0.17910155653953552
37,0.18574218451976776
38,0.18691405653953552
39,0.19218750298023224
40,0.19511719048023224
41,0.19472655653953552
42,0.20156249403953552
43,0.20292969048023224
44,0.20624999701976776
45,0.20722655951976776
46,0.20703125
47,0.21113280951976776
48,0.21230468153953552
49,0.21210937201976776
50,0.21269531548023224
51,0.21914061903953552
52,0.21835938096046448
53,0.22226563096046448
54,0.22578124701976776
55,0.2255859375
56,0.23085936903953552
57,0.23378905653953552
58,0.23359374701976776
59,0.24199219048023224
60,0.23984375596046448
61,0.2431640625
62,0.248046875
63,0.25390625
64,0.2535156309604645
65,0.25312501192092896
66,0.2564453184604645
67,0.2587890625
68,0.2574218809604645
69,0.25800782442092896
70,0.263671875
71,0.26738280057907104
72,0.26953125
73,0.26953125
74,0.27519530057907104
75,0.2783203125
76,0.28125
77,0.27656251192092896
78,0.27363282442092896
79,0.2724609375
80,0.2757812440395355
81,0.2783203125
82,0.2867187559604645
83,0.29218751192092896
84,0.29374998807907104
85,0.30078125
86,0.30351561307907104
87,0.3128906190395355
88,0.30742186307907104
89,0.3076171875
90,0.31074219942092896
91,0.3095703125
92,0.30742186307907104
93,0.3138671815395355
94,0.32636719942092896
95,0.33515626192092896
96,0.3408203125
97,0.34589844942092896
98,0.34765625
99,0.3462890684604645
100,0.34746092557907104
101,0.34492188692092896
102,0.3402343690395355
103,0.3509765565395355
104,0.35546875
105,0.3578124940395355
106,0.3646484315395355
107,0.36796873807907104
108,0.3685546815395355
109,0.37109375
110,0.3695312440395355
111,0.3695312440395355
112,0.3685546815395355
113,0.37187498807907104
114,0.37382811307907104
115,0.37578123807907104
116,0.3861328065395355
117,0.37871092557907104
118,0.3763671815395355
119,0.38300782442092896
120,0.3843750059604645
121,0.39472657442092896
122,0.39628905057907104
123,0.3955078125
124,0.3970703184604645
125,0.40019530057907104
126,0.40625
127,0.40898436307907104
128,0.4107421934604645
129,0.41523438692092896
130,0.4146484434604645
131,0.42500001192092896
132,0.4341796934604645
133,0.4296875
134,0.4330078065395355
135,0.43242186307907104
136,0.4345703125
137,0.43632811307907104
138,0.4369140565395355
139,0.43437498807907104
140,0.4359374940395355
141,0.4351562559604645
142,0.4439453184604645
143,0.44843751192092896
144,0.4453125
145,0.4521484375
146,0.45976561307907104
147,0.4566406309604645
148,0.4583984315395355
149,0.45390623807907104
150,0.45683592557907104
