t,mean_fC
1,0.3253600001335144
2,0.2340800017118454
3,0.17920000851154327
4,0.16264000535011292
5,0.15944001078605652
6,0.16599999368190765
7,0.17655999958515167
8,0.1879200041294098
9,0.1982399970293045
10,0.21024000644683838
11,0.22312000393867493
12,0.23703999817371368
13,0.25168001651763916
14,0.2633599638938904
15,0.28016000986099243
16,0.29576000571250916
17,0.30743998289108276
18,0.3197599947452545
19,0.33480000495910645
20,0.3468800187110901
21,0.36455997824668884
22,0.37959998846054077
23,0.3980800211429596
24,0.41304001212120056
25,0.4288000166416168
26,0.4410399794578552
27,0.451200008392334
28,0.45983999967575073
29,0.4688799977302551
30,0.4833599925041199
31,0.4933599829673767
32,0.5013600587844849
33,0.5140799880027771
34,0.52920001745224
35,0.5399999618530273
36,0.5491999983787537
37,0.5595200061798096
38,0.5622400045394897
39,0.5740799903869629
40,0.5768799781799316
41,0.5826399922370911
42,0.5861600041389465
43,0.5950400233268738
44,0.608240008354187
45,0.6149600148200989
46,0.6258400082588196
47,0.6307999491691589
48,0.636959969997406
49,0.6452000141143799
50,0.6509600281715393
51,0.6529600024223328
52,0.663599967956543
53,0.6702399849891663
54,0.6791999936103821
55,0.6804800033569336
56,0.6881600022315979
57,0.6921599507331848
58,0.6965599656105042
59,0.6979199647903442
60,0.7023999094963074
61,0.7055200338363647
62,0.7046400308609009
63,0.7070399522781372
64,0.7133600115776062
65,0.7119199633598328
66,0.7133600115776062
67,0.717199981212616
68,0.723360002040863
69,0.7210400104522705
70,0.7278400659561157
71,0.7355999946594238
72,0.7382399439811707
73,0.7343200445175171
74,0.7364800572395325
75,0.741599977016449
76,0.7473599910736084
77,0.7508800625801086
78,0.7490399479866028
79,0.7546399831771851
80,0.7537599802017212
81,0.7531999945640564
82,0.7569600343704224
83,0.760159969329834
84,0.7584799528121948
85,0.7627999186515808
86,0.7577600479125977
87,0.7608799934387207
88,0.7612800002098083
89,0.7699199914932251
90,0.7715200185775757
91,0.7735199928283691
92,0.7734400033950806
93,0.770799994468689
94,0.7732000350952148
95,0.7747999429702759
96,0.7777599692344666
97,0.7785600423812866
98,0.7716000080108643
99,0.7774399518966675
100,0.7752000093460083
101,0.782480001449585
102,0.7818400263786316
103,0.7813600301742554
104,0.7851999998092651
105,0.784559965133667
106,0.7910400032997131
107,0.7899999618530273
108,0.7932800054550171
109,0.7955999970436096
110,0.7996799945831299
111,0.7975200414657593
112,0.8021599650382996
113,0.8006399869918823
114,0.7968800663948059
115,0.7940800189971924
116,0.7996000051498413
117,0.80103999376297
118,0.7994399666786194
119,0.7943199872970581
120,0.7930399775505066
121,0.7959200143814087
122,0.7912799715995789
123,0.7946399450302124
124,0.7928799986839294
125,0.7940799593925476
126,0.7945599555969238
127,0.7948800325393677
128,0.7956799268722534
129,0.7976800203323364
130,0.7988800406455994
131,0.7995200157165527
132,0.7985600233078003
133,0.7983999848365784
134,0.7992000579833984
135,0.7993600368499756
136,0.7990399599075317
137,0.7964800000190735
138,0.7997599840164185
139,0.8060799837112427
140,0.8064800500869751
141,0.8088800311088562
142,0.8088000416755676
143,0.8119999766349792
144,0.8107999563217163
145,0.8119999766349792
146,0.8147199749946594
147,0.8152799606323242
148,0.8160799741744995
149,0.8164799809455872
150,0.8152000308036804
