t,mean_fC
1,0.7324444055557251
2,0.8213332891464233
3,0.5520000457763672
4,0.46222224831581116
5,0.3191111087799072
6,0.2808888852596283
7,0.21066665649414062
8,0.1644444465637207
9,0.1137777790427208
10,0.08622222393751144
11,0.06400000303983688
12,0.04711111634969711
13,0.03733333572745323
14,0.031111111864447594
15,0.02133333310484886
16,0.020444443449378014
17,0.012444444000720978
18,0.009777778759598732
19,0.008888889104127884
20,0.004444444552063942
21,0.005333333276212215
22,0.003555555595085025
23,0.0017777777975425124
24,0.0017777777975425124
25,0.0008888888987712562
26,0.0008888888987712562
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
