t,mean_fC
1,0.747439980506897
2,0.8482400178909302
3,0.5702400207519531
4,0.4716799855232239
5,0.3463999927043915
6,0.27272000908851624
7,0.20040002465248108
8,0.14744000136852264
9,0.11239999532699585
10,0.0811999961733818
11,0.06240000203251839
12,0.04392000287771225
13,0.03392000123858452
14,0.024480000138282776
15,0.018640000373125076
16,0.013120000250637531
17,0.009039999917149544
18,0.006079999264329672
19,0.003999999724328518
20,0.0028000001329928637
21,0.001999999862164259
22,0.0013599998783320189
23,0.0011999999405816197
24,0.0010400000028312206
25,0.0006399999838322401
26,0.000640000042039901
27,0.0005600000149570405
28,0.0005599999567493796
29,0.0004799999878741801
30,0.0004799999878741801
31,0.00015999999595806003
32,0.00015999999595806003
33,7.999999797903001e-05
34,7.999999797903001e-05
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
