L,r,allocation,hybrid_w,episode_length,episodes,steady_mean_fC,final_fC
15,1.5,labor,0.5,100,5,0.0,0.0
15,2.0,labor,0.5,100,5,0.0,0.0
15,2.5,labor,0.5,100,5,0.0,0.0
15,3.0,labor,0.5,100,5,0.0,0.0
15,3.5,labor,0.5,100,5,0.0,0.0
15,4.0,labor,0.5,100,5,0.0,0.0
15,4.5,labor,0.5,100,5,0.0,0.0
32,1.5,labor,0.5,100,5,0.0031250000465661287,0.0031250000465661287
32,2.0,labor,0.5,100,5,0.0,0.0
32,2.5,labor,0.5,100,5,0.0,0.0
32,3.0,labor,0.5,100,5,0.0,0.0
32,3.5,labor,0.5,100,5,0.0,0.0
32,4.0,labor,0.5,100,5,0.0,0.0
32,4.5,labor,0.5,100,5,0.0,0.0
50,1.5,labor,0.5,100,5,0.0012000000569969416,0.0012000000569969416
50,2.0,labor,0.5,100,5,0.0,0.0
50,2.5,labor,0.5,100,5,0.0,0.0
50,3.0,labor,0.5,100,5,0.0,0.0
50,3.5,labor,0.5,100,5,0.0,0.0
50,4.0,labor,0.5,100,5,0.0,0.0
50,4.5,labor,0.5,100,5,0.0,0.0
15,1.5,equal,0.5,100,5,0.0,0.0
15,2.0,equal,0.5,100,5,0.0,0.0
15,2.5,equal,0.5,100,5,0.0,0.0
15,3.0,equal,0.5,100,5,0.0,0.0
15,3.5,equal,0.5,100,5,0.0,0.0
15,4.0,equal,0.5,100,5,0.0,0.0
15,4.5,equal,0.5,100,5,0.0,0.0
32,1.5,equal,0.5,100,5,0.0,0.0
32,2.0,equal,0.5,100,5,0.0,0.0
32,2.5,equal,0.5,100,5,0.0,0.0
32,3.0,equal,0.5,100,5,0.0,0.0
32,3.5,equal,0.5,100,5,0.0,0.0
32,4.0,equal,0.5,100,5,0.0,0.0
32,4.5,equal,0.5,100,5,0.0,0.0
50,1.5,equal,0.5,100,5,0.0,0.0
50,2.0,equal,0.5,100,5,0.0,0.0
50,2.5,equal,0.5,100,5,0.0,0.0
50,3.0,equal,0.5,100,5,0.0,0.0
50,3.5,equal,0.5,100,5,0.0,0.0
50,4.0,equal,0.5,100,5,0.0,0.0
50,4.5,equal,0.5,100,5,0.0,0.0
