t,mean_fC
1,0.7517600059509277
2,0.889680027961731
3,0.8762399554252625
4,0.9439999461174011
5,0.8945600390434265
6,0.9303199648857117
7,0.8840000033378601
8,0.9063199758529663
9,0.8588800430297852
10,0.8865599632263184
11,0.8375200033187866
12,0.8687200546264648
13,0.8149600028991699
14,0.8478400111198425
15,0.791920006275177
16,0.8277599215507507
17,0.7719200253486633
18,0.817520022392273
19,0.7501600384712219
20,0.7940799593925476
21,0.7266399264335632
22,0.7717600464820862
23,0.703760027885437
24,0.7508800029754639
25,0.6799200177192688
26,0.7267199754714966
27,0.6526399850845337
28,0.7065600156784058
29,0.6341599822044373
30,0.6811999678611755
31,0.6058400273323059
32,0.656000018119812
33,0.5789600014686584
34,0.6314400434494019
35,0.5579999685287476
36,0.6039999723434448
37,0.5324799418449402
38,0.5784800052642822
39,0.5012000203132629
40,0.5502399206161499
41,0.48815998435020447
42,0.532800018787384
43,0.4724000096321106
44,0.5121600031852722
45,0.4540800154209137
46,0.4880800247192383
47,0.436240017414093
48,0.4689599871635437
49,0.421999990940094
50,0.4469600319862366
51,0.4105600416660309
52,0.43295997381210327
53,0.3911200165748596
54,0.4127200245857239
55,0.3733599781990051
56,0.38975995779037476
57,0.35704001784324646
58,0.37935999035835266
59,0.34431999921798706
60,0.3617599904537201
61,0.33584001660346985
62,0.34623998403549194
63,0.32071998715400696
64,0.33504000306129456
65,0.30720001459121704
66,0.31704002618789673
67,0.2892800271511078
68,0.30320000648498535
69,0.2773600220680237
70,0.28336000442504883
71,0.27272000908851624
72,0.2749599814414978
73,0.2560800015926361
74,0.25863999128341675
75,0.24960000813007355
76,0.24968001246452332
77,0.23439998924732208
78,0.2319200038909912
79,0.22224000096321106
80,0.22016000747680664
81,0.2131200134754181
82,0.21015998721122742
83,0.20239999890327454
84,0.1985599845647812
85,0.18968001008033752
86,0.18784001469612122
87,0.18615999817848206
88,0.18368001282215118
89,0.1794399917125702
90,0.17535999417304993
91,0.17159999907016754
92,0.1621600091457367
93,0.1599999964237213
94,0.15432000160217285
95,0.1486400067806244
96,0.14552000164985657
97,0.13911999762058258
98,0.13303999602794647
99,0.1287200003862381
100,0.12311999499797821
