t,mean_fC
1,0.753777801990509
2,0.12088888883590698
3,0.1635555624961853
4,0.10666666179895401
5,0.1128888875246048
6,0.09333334118127823
7,0.08799999952316284
8,0.06577777862548828
9,0.059555552899837494
10,0.04000000283122063
11,0.04266666620969772
12,0.03288888558745384
13,0.030222222208976746
14,0.018666666001081467
15,0.015111112967133522
16,0.004444444552063942
17,0.003555555595085025
18,0.0017777777975425124
19,0.0008888888987712562
20,0.0008888888987712562
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
