t,mean_fC
1,0.738444447517395
2,0.8813333511352539
3,0.8686666488647461
4,0.940666675567627
5,0.8995555639266968
6,0.93022221326828
7,0.8846666216850281
8,0.9071111679077148
9,0.8615555763244629
10,0.8875554800033569
11,0.8384444117546082
12,0.8695555925369263
13,0.8126665949821472
14,0.8497778177261353
15,0.7964444160461426
16,0.835111141204834
17,0.7857778072357178
18,0.822888970375061
19,0.7506666779518127
20,0.7946666479110718
21,0.7244445085525513
22,0.7675555348396301
23,0.7104445099830627
24,0.7555555701255798
25,0.6868889331817627
26,0.7319999933242798
27,0.659333348274231
28,0.7053333520889282
29,0.6382222175598145
30,0.6891111135482788
31,0.5980000495910645
32,0.6555555462837219
33,0.5717778205871582
34,0.6222222447395325
35,0.5531111359596252
36,0.6026666760444641
37,0.5348889231681824
38,0.5791111588478088
39,0.5175555944442749
40,0.562666654586792
41,0.4877777695655823
42,0.5315555334091187
43,0.47244444489479065
44,0.519111156463623
45,0.45533332228660583
46,0.49177780747413635
47,0.4417777955532074
48,0.4773333668708801
49,0.4342222213745117
50,0.4659999907016754
51,0.41288891434669495
52,0.4317777752876282
53,0.3964444696903229
54,0.40888890624046326
55,0.3844444453716278
56,0.3884444832801819
57,0.3668888807296753
58,0.3757777810096741
59,0.3444444239139557
60,0.34377777576446533
61,0.32155555486679077
62,0.3297777771949768
63,0.31155556440353394
64,0.31333333253860474
65,0.3059999942779541
66,0.3055555522441864
67,0.2880000174045563
68,0.2862222492694855
69,0.27222222089767456
70,0.26644444465637207
71,0.2562222480773926
72,0.25333333015441895
73,0.2477777749300003
74,0.22888889908790588
75,0.23600001633167267
76,0.2231111079454422
77,0.2257777750492096
78,0.21111111342906952
79,0.2217777669429779
80,0.19644443690776825
81,0.20600000023841858
82,0.1931111067533493
83,0.19244444370269775
84,0.18222221732139587
85,0.17355555295944214
86,0.1684444397687912
87,0.16377778351306915
88,0.15288889408111572
89,0.14622220396995544
90,0.1415555626153946
91,0.1366666704416275
92,0.1371111124753952
93,0.1322222203016281
94,0.12644444406032562
95,0.12422223389148712
96,0.12288888543844223
97,0.11711110919713974
98,0.11444444954395294
99,0.11511111259460449
100,0.1102222204208374
