t,mean_fC
1,0.7531110644340515
2,0.09133332967758179
3,0.12133333832025528
4,0.07911110669374466
5,0.08577777445316315
6,0.05711110681295395
7,0.0568888895213604
8,0.031111110001802444
9,0.0282222218811512
10,0.019555555656552315
11,0.01644444279372692
12,0.012888888828456402
13,0.009999999776482582
14,0.006888888776302338
15,0.004444444086402655
16,0.00422222213819623
17,0.003777777776122093
18,0.0031111110001802444
19,0.002888888819143176
20,0.002222222276031971
21,0.001999999862164259
22,0.0011111111380159855
23,0.00022222222469281405
24,0.00022222222469281405
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
