t,mean_fC
1,0.7466399669647217
2,0.12968000769615173
3,0.17695999145507812
4,0.1292800009250641
5,0.13440001010894775
6,0.10383999347686768
7,0.10160000622272491
8,0.07959999889135361
9,0.07575999945402145
10,0.058560002595186234
11,0.0536000020802021
12,0.04079999774694443
13,0.036799997091293335
14,0.02752000093460083
15,0.023120000958442688
16,0.017520001158118248
17,0.01423999946564436
18,0.009680000133812428
19,0.007840000092983246
20,0.004879999905824661
21,0.0035200000274926424
22,0.002400000113993883
23,0.0014400000218302011
24,0.0013599999947473407
25,0.0011199999134987593
26,0.0007200000109151006
27,0.0007200000109151006
28,0.0004799999878741801
29,0.0005600000149570405
30,0.0004799999878741801
31,0.0003999999607913196
32,0.0003200000210199505
33,0.0003200000210199505
34,0.00015999999595806003
35,0.00031999999191612005
36,0.00023999999393709004
37,7.999999797903001e-05
38,7.999999797903001e-05
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
